0,1,2,3,4,5,6,7
"('task_description', 'Continue this description of simple maps')","('complexity', 'low')","('bad_prompt', 'Tell me about simple maps.')","('good_prompt', 'You are an expert cartographer. Explain what simple maps are, including their key characteristics, common uses, and limitations. Provide examples of different types of simple maps.')","('expected_answer', 'A simple map is a visual representation of a geographic area that prioritizes clarity and ease of understanding over detailed accuracy. Key characteristics include a limited number of features, simplified symbols and labels, and a focus on conveying essential information. Common uses include tourist maps, route planners, and thematic maps showing basic data distributions. Limitations include a lack of precise measurements, omission of less important details, and potential for generalization errors. Examples include schematic transit maps, basic road maps, and choropleth maps with few data classes.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.COMPLETION: 'Completion Prompts'>)","('notes', None)"
"('task_description', 'Translate this relationship advice content between languages')","('complexity', 'medium')","('bad_prompt', 'Translate this relationship advice into Spanish: ""Communication is key in any relationship.""')","('good_prompt', 'You are a professional translator specializing in relationship advice. Your task is to translate the following English sentence into Spanish, ensuring the translation accurately conveys the original meaning and is suitable for a general audience seeking relationship guidance. The sentence is: ""Communication is key in any relationship."" Provide only the translated sentence.')","('expected_answer', '""La comunicación es clave en cualquier relación.""')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.TRANSLATION: 'Translation Prompts'>)","('notes', None)"
"('task_description', 'Explain how this code for neuroscience research works')","('complexity', 'high')","('bad_prompt', 'Explain this neuroscience code.')","('good_prompt', 'You are an expert neuroscientist and computational biologist with extensive experience in analyzing neural data and the Allen Brain Atlas. Your task is to explain the following Python code, which is used for analyzing neuronal activity data in the context of the Allen Brain Atlas. Provide a detailed explanation of each section of the code, including the purpose of each function, the data structures used, and the overall workflow. Focus on how the code integrates with the Allen Brain Atlas API and what specific neuroscience questions it aims to address. Also, explain potential limitations, assumptions, and possible improvements to the code. The code is as follows:\n\n```python\nimport allensdk\nfrom allensdk.core.brain_observatory_cache import BrainObservatoryCache\nimport pandas as pd\nimport numpy as np\n\n# Specify manifest file\nmanifest_path = ""./manifest.json""\n\n# Initialize Brain Observatory Cache\nboc = BrainObservatoryCache(manifest_file=manifest_path)\n\n# Get all experiments for a specific mouse\nsession_id = boc.get_ophys_session_id([715093703])[0]\n\n# Load ophys experiment\ndata_set = boc.get_ophys_experiment_data(ophys_experiment_id=session_id)\n\n# Get dff traces\ndff_traces = data_set.dff\n\n# Get cell ids\ncell_ids = data_set.get_cell_ids()\n\n# Get stimulus table\nstimulus_table = data_set.get_stimulus_table()\n\n# Example: Analyzing response to drifting gratings\ndrifting_gratings = stimulus_table[stimulus_table[\'stimulus_name\'] == \'drifting_gratings\']\n\n# Calculate mean dff during drifting gratings\nmean_dff = {}\nfor cell_id in cell_ids:\n    mean_dff[cell_id] = np.mean(dff_traces.loc[cell_id, drifting_gratings.index])\n\nmean_dff_df = pd.DataFrame.from_dict(mean_dff, orient=\'index\', columns=[\'mean_dff\'])\n\nprint(mean_dff_df.head())\n```')","('expected_answer', ""The ideal answer should provide a comprehensive explanation of the provided Python code. It should start by explaining the purpose of each imported library (allensdk, pandas, numpy). Then, it should describe the initialization of the Brain Observatory Cache and how it's used to access neuronal data from the Allen Brain Atlas. The explanation should cover how to retrieve specific experiments, load the data, extract relevant information like dF/F traces and cell IDs, and access the stimulus table. The response should then detail the analysis performed, specifically focusing on how the code calculates the mean dF/F response of neurons to drifting gratings. Finally, the response should discuss potential limitations of the code (e.g., it only analyzes one experiment, it doesn't account for baseline activity, it lacks statistical testing) and suggest possible improvements (e.g., batch processing multiple experiments, normalizing dF/F traces, performing statistical tests to assess significance). The answer should also mention the assumptions made by the code, such as the availability of the manifest file and the structure of the Allen Brain Atlas data."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CODE_PROMPTING: 'Code prompting'>])","('prompt_type', <PromptType.CODE_EXPLANATION: 'Code Explanation Prompts'>)","('notes', None)"
"('task_description', 'Create a guide for analytical methods')","('complexity', 'medium')","('bad_prompt', 'Tell me about analytical methods.')","('good_prompt', 'You are an expert in analytical methodologies used across various disciplines. Your task is to create a comprehensive guide outlining several key analytical methods. For each method, provide a clear definition, explain the typical steps involved in its application, discuss its strengths and weaknesses, and give a practical example of its use in a specific field. Include methods such as Regression Analysis, Hypothesis Testing, Time Series Analysis, and Cluster Analysis. Structure the guide for clarity and ease of understanding by someone with a basic understanding of statistics.')","('expected_answer', 'The ideal output would be a structured guide detailing several analytical methods. Each method should have a clear definition, a step-by-step explanation of its application, a discussion of its advantages and disadvantages, and a real-world example illustrating its use. The guide should cover at least Regression Analysis, Hypothesis Testing, Time Series Analysis, and Cluster Analysis, and be written in a way that is accessible to someone with a basic understanding of statistics. The response should demonstrate a deep understanding of these methods and their practical applications.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>])","('prompt_type', <PromptType.INSTRUCTIONAL: 'Instructional Prompts'>)","('notes', None)"
"('task_description', 'Continue this description of connectomics')","('complexity', 'high')","('bad_prompt', 'Tell me about connectomics.')","('good_prompt', 'You are an expert in neuroscience, specifically connectomics. Please provide a detailed explanation of connectomics, including its goals, methodologies (such as electron microscopy and CLARITY), challenges (like data analysis and scalability), and its potential applications in understanding brain function and neurological disorders. Also, discuss the ethical considerations surrounding the use of connectomics data, such as privacy and potential misuse. Provide specific examples of connectomics studies and their findings. Structure your response in a clear and organized manner, suitable for an advanced undergraduate student in neuroscience.')","('expected_answer', 'A comprehensive explanation of connectomics, covering its definition, aims, techniques (electron microscopy, CLARITY, etc.), challenges (data analysis, scalability, ethical considerations), applications (understanding brain function, neurological disorders), and examples of relevant studies with their findings. The response should be well-structured, detailed, and suitable for an advanced undergraduate neuroscience student.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>])","('prompt_type', <PromptType.COMPLETION: 'Completion Prompts'>)","('notes', None)"
"('task_description', 'Rewrite this air quality management content in a professional tone')","('complexity', 'medium')","('bad_prompt', 'Rewrite this air quality management content.')","('good_prompt', 'You are a professional environmental consultant. Rewrite the following air quality management content to be more professional and suitable for a government report. Focus on clarity, precision, and objectivity. The content is: [insert air quality management content here].')","('expected_answer', 'A rewritten version of the provided air quality management content, using precise language, avoiding jargon where possible, and maintaining an objective tone suitable for a formal government report. The rewritten content should be well-structured and easy to understand for a technical audience.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.STYLE_TONE_CHANGE: 'Style or Tone Change Prompts'>)","('notes', None)"
"('task_description', 'Answer questions about career development')","('complexity', 'medium')","('bad_prompt', 'How can I improve my career?')","('good_prompt', 'You are a career coach with 20 years of experience. A client comes to you and says, ""I feel stuck in my current role as a software engineer. I\'ve been in this position for 5 years and haven\'t seen any significant growth or new opportunities. I\'m looking for advice on how to advance my career, whether that means moving up within my current company or exploring opportunities elsewhere. My strengths are in backend development and problem-solving. What specific steps should I take to assess my options and make a strategic career move?"" Provide a detailed action plan with at least 5 concrete steps.')","('expected_answer', 'The ideal answer would be a structured action plan with at least five concrete steps. These steps should include self-assessment, skills development, networking, exploring internal opportunities, and considering external opportunities. Each step should be detailed with specific actions the client can take. For example, under self-assessment, the coach should advise the client to identify their values, interests, and skills, and how those align with potential career paths. Under skills development, the coach should advise the client to identify skills gaps and how to address them through courses, projects, or mentorship. The advice should be practical and actionable, reflecting the expertise of a seasoned career coach.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Answer questions about physical chemistry')","('complexity', 'medium')","('bad_prompt', 'Explain the concept of chemical potential.')","('good_prompt', 'You are a physical chemistry professor. Explain the concept of chemical potential, including its relationship to Gibbs free energy and its importance in understanding phase equilibria. Provide equations where appropriate. Use bullet points to organize your explanation.')","('expected_answer', 'An ideal response would define chemical potential, relate it mathematically to Gibbs free energy (partial molar Gibbs free energy), and explain how it dictates the direction of spontaneous change and equilibrium between phases. The bullet point formatting should make the explanation clear and easy to follow.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Create a program for public speaking')","('complexity', 'medium')","('bad_prompt', 'Write a speech.')","('good_prompt', 'You are a world-renowned public speaking coach. A client needs to give a speech about the importance of recycling to a general audience. The speech should be approximately 500 words long and should include a clear introduction, three main points with supporting evidence, and a strong conclusion. Provide specific examples and actionable steps the audience can take to improve recycling habits. Use a tone that is both informative and persuasive. Structure the response in markdown format.')","('expected_answer', ""The expected answer is a well-structured speech (in markdown format) that is approximately 500 words long. It should have a clear introduction that grabs the audience's attention and states the purpose of the speech. The body should contain three distinct main points, each supported by evidence, statistics, or relevant examples. The speech should offer actionable steps the audience can take to improve their recycling habits. The conclusion should summarize the main points and leave the audience with a lasting impression, reinforcing the importance of recycling."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.PROGRAMMING_CODE_GENERATION: 'Programming and Code Generation Prompts'>)","('notes', None)"
"('task_description', 'Describe how photography techniques works')","('complexity', 'medium')","('bad_prompt', 'Explain photography techniques.')","('good_prompt', 'You are an expert photography teacher. Explain how aperture, shutter speed, and ISO work together to create a well-exposed photograph. Include examples of how changing each setting affects the final image, and explain the relationship between these three elements. Also, explain different focusing techniques like single-point, continuous, and manual focus, and how they are used in different scenarios. Finally, explain different composition techniques like the rule of thirds, leading lines, and symmetry, and how they can be used to create visually appealing images.')","('expected_answer', 'The response should provide a detailed explanation of aperture, shutter speed, and ISO, including how each setting affects the exposure and overall look of a photograph. It should also explain different focusing techniques and composition techniques, providing examples of how they are used in various photographic scenarios. The answer should demonstrate a clear understanding of the relationships between these elements and how they contribute to creating a well-exposed and visually appealing image.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Take on the role of a basic shapes consultant')","('complexity', 'low')","('bad_prompt', 'Tell me about squares.')","('good_prompt', 'You are a geometry expert. As a geometry expert, explain the properties of a square, including the number of sides, angles, and any special characteristics that define it. Provide your answer in a concise paragraph.')","('expected_answer', 'A square is a quadrilateral, meaning it has four sides. All four sides are of equal length, and all four interior angles are right angles (90 degrees). The diagonals of a square are equal in length and bisect each other at right angles. A square is both a rectangle (because it has four right angles) and a rhombus (because it has four equal sides).')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.SYSTEM_PROMPTING: 'System prompting'>])","('prompt_type', <PromptType.ROLE_PLAYING: 'Role-Playing Prompts'>)","('notes', None)"
"('task_description', 'Complete this paragraph about coloring techniques')","('complexity', 'low')","('bad_prompt', 'Tell me about coloring techniques.')","('good_prompt', 'You are an art expert. Explain different coloring techniques, focusing on watercolor, oil painting, and digital painting. For each technique, describe the materials needed, the process involved, and the unique effects that can be achieved. Provide examples of famous artworks that utilize each technique.')","('expected_answer', 'The response should detail watercolor, oil painting, and digital painting techniques. For each, it should list materials, process, and effects, along with artwork examples.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.COMPLETION: 'Completion Prompts'>)","('notes', None)"
"('task_description', 'Have a conversation about basic shapes')","('complexity', 'low')","('bad_prompt', 'Tell me about shapes.')","('good_prompt', 'You are a geometry tutor. Explain the properties of a square, a circle, and a triangle. Include the number of sides, angles, and any relevant formulas for area or circumference. Provide your answer in a well-organized format.')","('expected_answer', 'A square has four equal sides and four 90-degree angles. Its area is calculated as side * side. A circle has no sides or angles, and its circumference is 2 * pi * radius, and its area is pi * radius^2. A triangle has three sides and three angles, with the sum of the angles being 180 degrees. Its area is 0.5 * base * height.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.CONVERSATIONAL: 'Conversational Prompts'>)","('notes', None)"
"('task_description', 'Take on the role of a basic drawing consultant')","('complexity', 'low')","('bad_prompt', 'Draw a house.')","('good_prompt', 'As a professional architectural sketch artist, create a detailed black and white line drawing of a two-story Victorian house with a wraparound porch, a turret on the left side, and intricate gingerbread trim. The house should be set on a slight hill with a well-manicured lawn and a large oak tree to the right. The style should be suitable for a historical preservation society brochure.')","('expected_answer', 'A detailed black and white line drawing of a Victorian house, showcasing architectural details like the wraparound porch, turret, gingerbread trim, and landscaping. The drawing should be of high quality, suitable for use in a professional brochure.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.ROLE_PLAYING: 'Role-Playing Prompts'>)","('notes', None)"
"('task_description', 'Create a program for smart grid technology')","('complexity', 'high')","('bad_prompt', 'Tell me about smart grids.')","('good_prompt', 'You are an expert in electrical engineering and power grid management. Your task is to design a comprehensive smart grid system for a medium-sized city (population 500,000). Consider the following aspects in detail:\n\n1.  **Demand Response:** Develop a strategy for demand response programs, including incentives for consumers to shift their energy usage during peak hours. Quantify the expected peak load reduction.\n2.  **Renewable Energy Integration:** Outline a plan for integrating solar and wind energy sources into the grid. Address the challenges of intermittency and variability, including energy storage solutions (e.g., battery storage, pumped hydro).\n3.  **Advanced Metering Infrastructure (AMI):** Describe the AMI infrastructure, including smart meters, communication networks, and data management systems. Explain how AMI data will be used for grid optimization and fault detection.\n4.  **Grid Security:** Detail cybersecurity measures to protect the smart grid from cyberattacks, including intrusion detection systems, encryption protocols, and access control mechanisms.\n5.  **Fault Detection and Self-Healing:** Design a fault detection and self-healing system that can automatically identify and isolate faults, minimizing outages and improving grid reliability. Specify the types of sensors and algorithms used.\n6.  **Communication Infrastructure:** Describe the communication technologies used for data transmission between smart meters, substations, and control centers (e.g., fiber optics, wireless communication).\n7.  **Data Analytics and Optimization:** Explain how data analytics will be used to optimize grid performance, predict energy demand, and improve resource allocation. Include specific algorithms and models.\n8.  **Regulatory Compliance:** Ensure that the smart grid design complies with relevant industry standards and regulations (e.g., IEEE standards, NERC guidelines).\n\nProvide a detailed technical report outlining the design, implementation, and expected performance of the smart grid system. Include diagrams and schematics where appropriate. Be specific about technologies, vendors, and costs where possible. Justify your design choices with data and analysis. Consider the long-term sustainability and scalability of the system.')","('expected_answer', 'The ideal answer would be a detailed technical report outlining a comprehensive smart grid system. It should include specific strategies for demand response, renewable energy integration (with specific storage solutions and capacity calculations), a detailed AMI infrastructure description, robust cybersecurity measures, a fault detection and self-healing system with sensor types and algorithms, communication technologies, data analytics methods with specific algorithms, and adherence to regulatory standards. The report should include diagrams, schematics, vendor information, cost estimates, and justifications for design choices based on data and analysis. The response should demonstrate a deep understanding of smart grid technologies and their application in a real-world scenario.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>])","('prompt_type', <PromptType.PROGRAMMING_CODE_GENERATION: 'Programming and Code Generation Prompts'>)","('notes', None)"
"('task_description', 'Evaluate the strengths and weaknesses of air quality management')","('complexity', 'medium')","('bad_prompt', 'Tell me about air quality management.')","('good_prompt', ""You are an environmental policy expert. Evaluate the strengths and weaknesses of air quality management strategies, considering both regulatory approaches (e.g., emission standards, permits) and market-based approaches (e.g., cap-and-trade, carbon taxes). For each strength and weakness, provide specific examples and explain the underlying reasons for your assessment. Structure your response in a table format with columns for 'Strength', 'Weakness', 'Example', and 'Explanation'."")","('expected_answer', ""The ideal output would be a table that systematically evaluates air quality management strategies. The table should have four columns: 'Strength', 'Weakness', 'Example', and 'Explanation'. The 'Strength' and 'Weakness' columns should list various advantages and disadvantages of air quality management strategies, covering both regulatory and market-based approaches. The 'Example' column should provide specific instances or cases that illustrate the strength or weakness. The 'Explanation' column should offer a detailed rationale for why the listed item is considered a strength or weakness, considering factors like effectiveness, cost, equity, and enforceability. The answer should demonstrate a comprehensive understanding of air quality management and its complexities."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>])","('prompt_type', <PromptType.ANALYSIS_CRITIQUE: 'Analysis or Critique Prompts'>)","('notes', None)"
"('task_description', 'Provide a brief overview of simple machines')","('complexity', 'low')","('bad_prompt', 'Tell me about simple machines.')","('good_prompt', 'You are a science teacher explaining basic physics concepts to middle school students. Explain what simple machines are, list the six types of simple machines, and give a real-world example of each. Keep your explanation concise and easy to understand.')","('expected_answer', 'Simple machines are basic mechanical devices that make work easier by multiplying force or changing the direction of force. The six types are: 1. Lever (e.g., a seesaw), 2. Wheel and axle (e.g., a car wheel), 3. Pulley (e.g., a flagpole pulley), 4. Inclined plane (e.g., a ramp), 5. Wedge (e.g., an axe), and 6. Screw (e.g., a screw holding wood together).')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.SUMMARIZATION: 'Summarization Prompts'>)","('notes', None)"
"('task_description', 'Explain playground games in basic detail')","('complexity', 'low')","('bad_prompt', 'Tell me about playground games.')","('good_prompt', 'You are an elementary school teacher explaining playground games to a new student. Describe three popular playground games, including simple rules and how kids typically play them. Focus on games suitable for children aged 6-8.')","('expected_answer', ""The response should describe three common playground games (e.g., tag, hide-and-seek, red light green light) in simple terms. For each game, it should explain the basic rules and how children usually play the game, keeping the explanation appropriate for a young child's understanding."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Provide a translation of this web development text')","('complexity', 'medium')","('bad_prompt', ""Translate this web development text to Spanish: 'Asynchronous JavaScript and XML (Ajax) is a set of web development techniques using many web technologies on the client-side to create asynchronous web applications.'"")","('good_prompt', ""You are a professional translator specializing in web development terminology. Translate the following English text into Spanish, ensuring accuracy and clarity for a technical audience. The text is: 'Asynchronous JavaScript and XML (Ajax) is a set of web development techniques using many web technologies on the client-side to create asynchronous web applications.' Provide a glossary of the key terms used in the translation, with both the English and Spanish terms."")","('expected_answer', ""The ideal output would be a precise and technically accurate translation of the provided English text into Spanish. It should also include a glossary that defines the key terms used in both English and Spanish, ensuring that a Spanish-speaking web developer can understand the nuances of the original text. For example, the glossary should include terms like 'Asynchronous JavaScript and XML', 'web development techniques', 'client-side', and 'asynchronous web applications' with their corresponding Spanish translations and brief explanations if necessary."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.TRANSLATION: 'Translation Prompts'>)","('notes', None)"
"('task_description', 'Create a program for musical theory')","('complexity', 'medium')","('bad_prompt', 'Write a program for music theory.')","('good_prompt', 'You are an expert music theory tutor. Write a Python program that can perform the following tasks:\n\n1.  Identify the key of a given musical piece represented as a sequence of notes (e.g., [""C"", ""D"", ""E"", ""F"", ""G"", ""A"", ""B""]). Assume the input will be a list of strings representing note names.\n2.  Determine the Roman numeral analysis of a chord progression. The input will be a list of chords (e.g., [""Cmaj"", ""Gmaj"", ""Amin"", ""Fmaj""]). The output should be a list of Roman numerals (e.g., [""I"", ""V"", ""vi"", ""IV""]).\n3.  Generate a simple melody in a specified key (e.g., ""Cmaj"") consisting of 8 notes. The melody should be diatonic to the key.\n\nInclude comments to explain the code. Provide example usages for each function.')","('expected_answer', 'The ideal output would be a well-structured Python program with three functions:\n\n*   `identify_key(notes)`: Takes a list of note names as input and returns the identified key as a string.\n*   `roman_numeral_analysis(chords)`: Takes a list of chord names as input and returns a list of Roman numerals representing the chord progression.\n*   `generate_melody(key)`: Takes a key as input and returns a list of 8 note names representing a simple melody in that key.\n\nThe program should include clear comments explaining the logic behind each function and example usages demonstrating how to use the functions with sample inputs and expected outputs.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CODE_PROMPTING: 'Code prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.PROGRAMMING_CODE_GENERATION: 'Programming and Code Generation Prompts'>)","('notes', None)"
"('task_description', 'Address common questions on statistical analysis')","('complexity', 'medium')","('bad_prompt', 'What is statistical analysis?')","('good_prompt', 'You are an expert statistician. Please explain statistical analysis to a student with a basic understanding of mathematics. Cover the following topics:\n\n1.  Definition: What is statistical analysis in simple terms?\n2.  Types: Describe the main types of statistical analysis (descriptive and inferential) and provide examples of when each would be used.\n3.  Process: Outline the general steps involved in conducting a statistical analysis, from data collection to interpretation.\n4.  Importance: Explain why statistical analysis is important in various fields such as science, business, and healthcare.\n\nStructure your response in a clear and organized manner, using headings and bullet points where appropriate. Aim for a comprehensive yet easy-to-understand explanation.')","('expected_answer', 'The ideal response would be a well-structured explanation of statistical analysis, covering its definition, types (descriptive and inferential), the general process involved, and its importance across various fields. The explanation should be clear, concise, and suitable for someone with a basic understanding of mathematics. It should include examples to illustrate the different types of statistical analysis and provide a step-by-step outline of the analysis process. The response should highlight the significance of statistical analysis in making informed decisions in science, business, and healthcare.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Answer questions about complex systems ecology')","('complexity', 'high')","('bad_prompt', 'What are the main factors affecting the stability of an ecosystem?')","('good_prompt', 'You are an expert in complex systems ecology. Please analyze the factors that contribute to the stability of an ecosystem, considering both biotic and abiotic elements. Use a chain of thought approach to explain how changes in one factor can cascade through the system, affecting overall stability. Specifically, discuss the roles of biodiversity, keystone species, nutrient cycles, and climate variability. Provide examples of ecosystems and how these factors interact to maintain or disrupt stability. Conclude by discussing the concept of resilience in ecosystems and how it relates to these factors.')","('expected_answer', 'The response should provide a detailed analysis of ecosystem stability, identifying key biotic and abiotic factors. It should explain how these factors interact, using examples to illustrate the concepts. The answer should discuss the roles of biodiversity, keystone species, nutrient cycles, and climate variability in maintaining or disrupting stability. It should also define and discuss the concept of resilience in ecosystems and how it relates to these factors. The chain of thought should be evident in the explanation of how changes in one factor can cascade through the system.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.QUESTION_ANSWERING: 'Question-Answering Prompts'>)","('notes', None)"
"('task_description', 'Describe how popular sports works')","('complexity', 'low')","('bad_prompt', 'Tell me about sports.')","('good_prompt', 'You are an expert sports commentator. Explain the basic rules and objectives of three popular sports: basketball, soccer, and American football. For each sport, briefly describe how points are scored and the general flow of the game.')","('expected_answer', 'The response should clearly and concisely explain the rules, scoring, and flow of basketball, soccer, and American football. It should be easily understandable to someone with little to no prior knowledge of these sports. For example, for basketball, it should mention scoring through baskets (2 or 3 points) and free throws (1 point), and the objective of outscoring the opponent within a set time. Similar explanations should be provided for soccer and American football.')","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CONTEXTUAL_PROMPTING: 'Contextual prompting'>])","('prompt_type', <PromptType.INFORMATIONAL: 'Informational or Factual Prompts'>)","('notes', None)"
"('task_description', 'Provide step-by-step instructions for genetic inheritance')","('complexity', 'medium')","('bad_prompt', 'Explain genetic inheritance.')","('good_prompt', 'You are a genetics professor. Explain the process of genetic inheritance in a step-by-step manner, including definitions of key terms like genes, alleles, chromosomes, dominant and recessive traits, and genotypes and phenotypes. Provide a simple example to illustrate how traits are passed from parents to offspring, including how to use a Punnett square.')","('expected_answer', ""1.  **Define Genes, Alleles, and Chromosomes:**\n    *   Genes: Basic units of heredity, segments of DNA that code for specific traits.\n    *   Alleles: Different versions of a gene (e.g., allele for blue eyes or brown eyes).\n    *   Chromosomes: Structures made of DNA that contain genes; humans have 23 pairs.\n2.  **Explain Dominant and Recessive Traits:**\n    *   Dominant: A trait that is expressed even if only one copy of the allele is present.\n    *   Recessive: A trait that is expressed only if two copies of the allele are present.\n3.  **Define Genotype and Phenotype:**\n    *   Genotype: The genetic makeup of an organism (e.g., BB, Bb, bb).\n    *   Phenotype: The observable characteristics or traits of an organism (e.g., brown eyes).\n4.  **Describe the Process of Inheritance:**\n    *   Each parent contributes one allele for each gene to their offspring.\n    *   Offspring inherit a combination of alleles, determining their genotype and phenotype.\n5.  **Illustrate with a Punnett Square:**\n    *   Example: Eye color, where 'B' is the dominant allele for brown eyes and 'b' is the recessive allele for blue eyes.\n    *   Cross two heterozygous parents (Bb x Bb).\n    *   Punnett Square:\n        |   | B  | b  |\n        |---|----|----|\n        | B | BB | Bb |\n        | b | Bb | bb |\n    *   Genotype Ratio: 1 BB : 2 Bb : 1 bb\n    *   Phenotype Ratio: 3 Brown eyes : 1 Blue eyes\n6.  **Summary:** Genetic inheritance involves the passing of genes from parents to offspring, with dominant and recessive alleles determining the expression of traits. Punnett squares can predict the probability of different genotypes and phenotypes in offspring."")","('prompting_techniques', [<PromptingTechnique.ROLE_PROMPTING: 'Role prompting'>, <PromptingTechnique.CHAIN_OF_THOUGHT: 'Chain of Thought (CoT)'>])","('prompt_type', <PromptType.INSTRUCTIONAL: 'Instructional Prompts'>)","('notes', None)"
